rating,stars,pitches,type,city,state
Three Draws and a Little Lady,5.8+ R,3.0,3,Trad,Southern Arizona,Arizona
Turtle Dome Crack,V1,4.2,,Boulder,Inland Empire,California
Stone Wave,5.11a/b,4.8,1,Trad,The Tennessee Wall,Tennessee
More Than A Handful,5.10+,2.7,,Sport,Southern Arizona,Arizona
The Cheater Overhang,V0-,2.5,,Boulder,Inland Empire,California
Left Thrutch,V0,2.3,,Boulder,Central Park Bouldering Area,Colorado
Chomping the Bit,5.10a,3.5,1,Sport,WM: Cliff Drive,Missouri
Sea of Cheez,5.11d,3.0,1,Sport,WM: Cliff Drive,Missouri
the forgotten line,5.10+,3.0,1,Sport,Asia,International
The Real Thing,5.12b,4.0,1,Sport,South Platte,Colorado
Cro-Magnon,5.10,4.7,1,"Trad, TR",Leominster Area,Massachusetts
Sunshine Daydream,5.10b,3.5,1,Trad,Inland Empire,California
Belly Roll,V1,2.6,,Boulder,Joshua Tree National Park,California
Parole,5.10+,2.5,,"Trad, Sport, TR",Southern Arizona,Arizona
Lost Huecos,5.10a/b R,3.0,3,Trad,Northern Arizona,Arizona
The Leisure Route,5.8,3.9,2,Trad,Wasatch Range,Utah
Pangborn,5.9,4.4,,Sport,Sierra Eastside,California
Easy Grit,V5,3.1,,Boulder,Sierra Eastside,California
Ranxerox Tangent,WI4,5.0,1,Ice,North America,International
Stand & Deliver,V11-,5.0,,Boulder,*Pawtuckaway,New Hampshire
Gums (aka Timex),V3-4,3.6,,Boulder,*Pawtuckaway,New Hampshire
Brett's Problem,V5,3.4,,Boulder,*Pawtuckaway,New Hampshire
Gunner,5.11b,3.5,1,Sport,Wasatch Range,Utah
Unnamed .7,V-easy,2.5,,Boulder,Joshua Tree National Park,California
Subrosa,V3-,4.0,1,Boulder,Reno and Carson City,Nevada
Beer Quester,5.11a,3.6,1,Sport,Maple Canyon,Utah
Taking the Bullet,5.11a,4.4,,Sport,Maple Canyon,Utah
Blunt Arete,5.10b,3.7,1,Sport,Maple Canyon,Utah
Gleaming the Cube,V8-,3.1,,Boulder,Sierra Eastside,California
Checkerboard,V7-8,5.0,,Boulder,Sierra Eastside,California
Pungase,V8-,4.4,,Boulder,Colorado Springs,Colorado
A Swift Kick to the Head,V7,2.5,,Boulder,*Pawtuckaway,New Hampshire
Calgary Stampede,5.8,3.1,1,Trad,Joshua Tree National Park,California
Flash Dihedral (Knapp Version),5.6,3.3,1,"Trad, TR",Boulder,Colorado
Set Free,5.10c,3.7,,Sport,Sierra Eastside,California
Legend of the Falls,5.13a,5.0,1,Sport,Jackson Falls,Illinois
Bil-Bolting-Baggins,5.9-,3.8,1,Sport,Custer State Park,South Dakota
Yayoi Right,V7,4.1,,Boulder,Sierra Eastside,California
Lizard Sex,5.4,2.0,,"Trad, TR",Lake Tahoe,California
Five Depends,5.9,2.0,,TR,Lake Tahoe,California
Left Hand Oop,5.9,2.5,,TR,San Diego County,California
Duck Soup,V0-,2.9,,Boulder,Sierra Eastside,California
Bat Girl,5.9,2.7,1,Trad,Southern Arizona,Arizona
Smirk,5.11c,2.0,1,Sport,Lander Area,Wyoming
Stiff Upper Lip,5.13a,4.0,1,Sport,Lander Area,Wyoming
Empire,5.12b,4.0,1,Sport,Lander Area,Wyoming
Loathing- Less Clothing,5.7 C1,2.5,2,"Trad, Aid",Moab Area,Utah
Unnamed,V7,4.7,,Boulder,Sierra Eastside,California
Mmm... Nice,V0-,2.9,,Boulder,Sierra Eastside,California
Choppy Omega,V7+,3.5,,Boulder,Golden,Colorado
Prairie Dog,V5,4.0,,Boulder,Golden,Colorado
Damn the Man (aka Turkjiggistan),V7,2.7,,Boulder,*Pawtuckaway,New Hampshire
Sand Wedge,V3,3.0,,Boulder,*Pawtuckaway,New Hampshire
Second Hand,5.11-,2.0,,Trad,Southern Arizona,Arizona
Bootwear,V4,2.0,,Boulder,Southeastern Lowlands,Pennsylvania
Ride My See-saw,5.10a,2.4,1,Sport,Boulder,Colorado
I Like It Black,5.10b,2.9,1,Sport,Canon City,Colorado
Chips Ahoy,5.12d,4.4,,Sport,Central Coast,California
Radar Direct,V5,4.0,,Boulder,The Needles Of Rushmore,South Dakota
Angel's Freeway,5.11+ R,4.0,5,Trad,*Cathedral Ledge,New Hampshire
Yuder's Arete,V2,3.0,,Boulder,Duluth Area (Rock and Ice),Minnesota
Hobo's Face,V4+,3.7,,Boulder,Duluth Area (Rock and Ice),Minnesota
Slabby Joe,V0,3.3,,Boulder,Duluth Area (Rock and Ice),Minnesota
Unnamed,V-easy,3.0,,Boulder,Duluth Area (Rock and Ice),Minnesota
Nice To Be Here,5.11-,2.2,,Sport,Boulder,Colorado
Static Cling,V4,2.7,,Boulder,The Needles Of Rushmore,South Dakota
Dr. Stupid,5.10a,3.6,,Sport,Horseshoe Canyon Ranch,Arkansas
Beer and Smear,5.8,3.0,,"Trad, TR",Stone Hill,Montana
Twinkle Toes,5.11c,4.0,,Sport,Sand Rock,Alabama
Weasel World,V2,3.0,,Boulder,Joshua Tree National Park,California
Javelina Right,V4,2.9,,Boulder,Southern Arizona,Arizona
Party in the Back,5.8,3.5,,Sport,Horseshoe Canyon Ranch,Arkansas
Radioactive Man,5.13a,4.0,1,Sport,Willow River State Park,Wisconsin
Two Bit Fantasy,5.10b/c,2.8,,Sport,Northern Arizona,Arizona
Squiggles Direct,5.10b R,2.8,1,"Trad, TR",The Gunks,New York
Bobby D's Bunny,5.6,3.2,1,Sport,The New River Gorge,West Virginia
Left Ladder,C1,3.7,1,"Trad, Aid",Los Angeles Basin,California
Gilded Otter,5.7,2.7,1,Sport,The New River Gorge,West Virginia
Time and Materials,5.12c/d,3.0,1,Sport,Lander Area,Wyoming
The Houston S,5.9,3.5,1,Sport,Taos Area,New Mexico
Jeff's Bunny Hop,5.8,3.4,1,Sport,The New River Gorge,West Virginia
Micropedimorph,5.8,3.0,1,"Trad, TR",Lake County Road 6 Area (North Shore),Minnesota
Turkey Trot,5.11,3.0,,Sport,Southern Arizona,Arizona
Case of the Stubborns,5.11a,2.0,,Sport,Northern Arizona,Arizona
Sly Willie Snores,5.11a,4.5,,Trad,The Tennessee Wall,Tennessee
Phony Pony,5.10a,3.8,5,Trad,Southern Arizona,Arizona
Blade Runner,5.12b,3.5,1,Sport,Golden,Colorado
Reach Around,5.10d,3.0,,Sport,Gallup Area,New Mexico
Ejaculation,V2,3.5,,Boulder,Devil's Lake,Wisconsin
Aurora's Diving Board,5.7 PG13,3.0,1,Trad,Taos Area,New Mexico
Frank's Wild Years,5.11,4.0,1,Trad,Golden,Colorado
Bone Collector aka Bone Crusher,5.12,4.8,1,Trad,Golden,Colorado
Hoot,5.8,3.5,1,Trad,Sierra Eastside,California
South Buttress of Wankers Wall,5.8 R,3.0,1,Trad,*Whitehorse Ledge,New Hampshire
New Vector,5.11,4.0,1,Trad,South Platte,Colorado
The Girdle,5.10,4.0,12,Trad,Northern Arizona,Arizona
Friggin' in the Riggin',5.9 A3- PG13,4.0,13,"Trad, Aid",New Mexico Navajolands,New Mexico
Descent Route,V-easy,2.0,,Boulder,Joshua Tree National Park,California
Flexi Flake,V4,3.4,,Boulder,Northern Arizona,Arizona
Old Route,5.8,2.3,1,Trad,Wasatch Range,Utah
Black Pearl,5.13,4.5,1,Sport,Boulder,Colorado
East Of Wrath,5.9,3.8,1,Trad,Moab Area,Utah
Job 3:25,5.10d,4.4,1,Sport,Sam's Throne & Surroundings,Arkansas
Orangeaid,5.10b,4.4,1,Trad,Seneca Rocks,West Virginia
Southwest Chimney,5.4,1.0,1,Trad,Boulder,Colorado
Ardeidae Arete,5.8 R,2.0,1,"Trad, TR",Los Alamos & White Rock,New Mexico
South Face,V0+,2.0,,Boulder,Joshua Tree National Park,California
Breezy Does It,5.12c,3.0,,Trad,Sam's Throne & Surroundings,Arkansas
Mr Lifto,5.10+,3.0,1,Trad,Southern Arizona,Arizona
Deep Throat,5.10a,4.1,1,Trad,Vedauwoo,Wyoming
Bombs Away aka B52,5.9,4.1,1,Trad,Vedauwoo,Wyoming
Lacking Garlic,5.7,0.0,1,Trad,Joshua Tree National Park,California
Northeast Arete,V1,2.9,,Boulder,Joe's Valley,Utah
Body Nazi,5.11-,4.0,2,"Trad, Alpine",Albuquerque Area Climbing,New Mexico
Oui,5.10b/c,3.5,1,Sport,Socorro Area,New Mexico
Payback,5.9+,2.8,1,Sport,Socorro Area,New Mexico
Hidden Falls,WI4-5,4.5,3,Ice,CO Ice & Mixed,Colorado
Right Arete,V0,3.0,,Boulder,Northern Arizona,Arizona
Hardscrabble,5.9 A3,5.0,4,"Trad, Aid",Moab Area,Utah
Zenyatta Mondatta,A3+,4.8,16,Aid,Yosemite National Park,California
Beauty and the Beast,5.12-,4.1,,Trad,Moab Area,Utah
South Couloir,3rd,3.7,,Alpine,Olympics & Pacific Coast,Washington
Body and Soul,V5,4.6,,Boulder,Joshua Tree National Park,California
Anonymous Flake Right,5.8-,4.3,1,"Trad, TR",Harrisonburg and NW VA,Virginia
Big Balls,5.10b,3.6,1,Sport,Harrisonburg and NW VA,Virginia
Ne Plus Ultra,5.9,3.0,1,Sport,Harrisonburg and NW VA,Virginia
Razor Tips,5.10c/d,2.5,1,Sport,San Bernardino Mountains,California
Twin Lizards Arete,5.10b,3.0,,Sport,San Diego County,California
Legal Crack,5.7,2.0,1,"Trad, TR",Harrisonburg and NW VA,Virginia
Route 22,5.9,3.0,,Trad,Los Alamos & White Rock,New Mexico
Cloud and Wind (Feng Yun),5.9,3.0,1,Trad,Asia,International
Donkey Punch,V6 PG13,4.6,,Boulder,Northern Arizona,Arizona
Chinese Gangfight,V5,3.6,,Boulder,Northern Arizona,Arizona
Trailer Park Arete,V3+,3.8,,Boulder,Northern Arizona,Arizona
Alice in Wonderland (Ai Li Si Man You Qi Jing),5.10c,4.0,1,Sport,Asia,International
Go Ask Alice,5.10c,3.0,1,Sport,Asia,International
Fantasy,5.8,4.5,2,Trad,The New River Gorge,West Virginia
Resurrection (Bu Si Niao),5.10c,4.0,1,Sport,Asia,International
Easy Roof,5.10d,4.0,1,Sport,Asia,International
Gunky Heaven,5.6,1.0,1,Trad,The New River Gorge,West Virginia
Turkey Baster,5.10c,3.6,1,Sport,Cochiti Mesa & Surrounding Crags,New Mexico
Jug Abuse,5.12a,3.3,1,Sport,Cochiti Mesa & Surrounding Crags,New Mexico
Romper Room,5.9-,3.3,1,Sport,Quartz Mountain,Oklahoma
Women and Power Tools,5.10c,3.0,1,"Sport, Alpine",Buena Vista,Colorado
Pea Green Limosine,5.10b,4.5,1,"Sport, Alpine",Cody,Wyoming
Pocket Rocket,5.12b,3.5,1,Sport,Ten Sleep Canyon,Wyoming
Pure Thoughts,5.11a,3.8,,Sport,Wasatch Range,Utah
Aunt Jemimas Bisquick Thunderdome,5.12c,4.6,1,Sport,Ten Sleep Canyon,Wyoming
Kung Fu  1 (Kung Fu Di Yi),5.9,2.0,1,Sport,Asia,International
Undercover Operation (Yin Bi De Ren),5.12b,3.0,1,Sport,Asia,International
Stepladder Mantel,V0,3.3,,Boulder,Joshua Tree National Park,California
Lizard's Tail,5.10b/c,2.7,1,Trad,Mount Yonah,Georgia
Puss Boy,5.10-,2.0,1,Trad,Joshua Tree National Park,California
Burning Shoes (a.k.a. Shattered Illusions of Love),5.9 A2,2.0,3,Aid,Moab Area,Utah
Bubba's Route,5.7+,4.0,1,"Trad, TR",Hurricane Creek Park,Alabama
The Axe,5.11 R,5.0,1,Trad,Europe,International
Bifurcation,5.2,2.5,1,"Trad, TR",Devil's Lake,Wisconsin
Campground Route,5.8 A3,3.5,2,"Trad, Aid",Moab Area,Utah
Trial & Terror,5.9+,4.0,7,Trad,Red Rock,Nevada
Tango Super Direct,5.10a PG13,2.0,1,Trad,Southeastern Lowlands,Pennsylvania
Gorilla,5.11d PG13,2.5,1,Trad,Southeastern Lowlands,Pennsylvania
Crummy Rotten Crack,5.10b R,2.5,1,Trad,Southeastern Lowlands,Pennsylvania
Shalestorm,5.9 PG13,2.5,2,"Trad, Sport",Southeastern Lowlands,Pennsylvania
Higher Than I,5.7 R,1.5,2,Trad,Southeastern Lowlands,Pennsylvania
The Long Chimney,5.3 PG13,2.0,1,"Trad, TR",Southeastern Lowlands,Pennsylvania
Big Brett the Baker's Buddy,5.9,2.4,1,Sport,San Luis Valley,Colorado
Get Over It,V10,5.0,,Boulder,Lyons,Colorado
Scale Me,5.10- PG13,4.0,1,Trad,South Platte,Colorado
Dyh-Tau (17073 ft). Main Summit through Right S. Buttress.,5.7+ PG13,5.0,,"Trad, Alpine",Asia,International
Corndog,5.11b/c,0.0,,Trad,Wichita Wildlife Refuge,Oklahoma
Top Rope 2 (Triangle),5.8,3.0,,TR,Camp Eagle,Texas
The Thighmaster,V5,3.0,,Boulder,Muscatatuck County Park,Indiana
Guacamole,5.11-,3.7,1,Trad,Northern Arizona,Arizona
North Ridge,5.5,4.4,,"Trad, Alpine",High Sierra,California
Jabberwocky,5.10b,4.0,1,Trad,North America,International
The Hunted,5.7,3.0,1,"Sport, TR",Gallatin Canyon,Montana
Pocket Protector,5.10a,3.6,,Sport,Gallatin Canyon,Montana
Fat F*&% Five,5.9,2.9,,"Sport, TR",Gallatin Canyon,Montana
Squirrel Attack,5.6,2.0,1,Trad,Joshua Tree National Park,California
Pippy the Zenhead,5.9,3.3,1,Sport,Sierra Eastside,California
East Face,WI5 M5,5.0,15,"Mixed, Ice, Alpine",Interior Alaska/Alaska Range,Alaska
Cracked Actor,5.10a,4.4,1,Trad,Leda,Tennessee
Seventh Sign,5.7,2.6,,Trad,The New River Gorge,West Virginia
Euro-Nation,5.11c,3.3,1,Sport,The New River Gorge,West Virginia
Bowel Movements (proposed),WI5,4.0,1,Ice,CO Ice & Mixed,Colorado
Windjammer,5.11a/b,4.0,3,Trad,WM: Kancamagus (Eastern),New Hampshire
Western Lady/ California Girls,5.11 R,3.9,1,Trad,*Cathedral Ledge,New Hampshire
Shangri-La,5.12+,5.0,5,Trad,Northern Arizona,Arizona
When Time Has No Meaning,5.7,2.0,1,Trad,Wasatch Range,Utah
Humblebee,5.10+,3.0,1,Sport,Northern Arizona,Arizona
Ein Kluck,5.9+ PG13,2.3,1,"Trad, TR",Boulder,Colorado
To Bee or Not to Bee,5.7,2.0,1,Trad,Adirondacks,New York
Givin the Dog a Bone,5.11b,3.8,1,Sport,Wasatch Range,Utah
Smoke Bluff Connection,5.10a,4.6,4,Trad,North America,International
Too Many Princesses,5.7,2.7,1,Sport,Sierra Eastside,California
Golden Opportunity,5.10d,4.0,1,Sport,San Bernardino Mountains,California
Crystal Ether,5.9+,4.4,1,Trad,North America,International
The Calvary Men,V7 PG13,5.0,,Boulder,Vedauwoo,Wyoming
Power Failure,5.11a,3.7,1,Trad,Joshua Tree National Park,California
Heather,5.12b,4.8,,Trad,*Cathedral Ledge,New Hampshire
Dirty Girl,5.8,2.9,1,"Trad, Sport",Golden,Colorado
Northwest Arete,V1,3.1,,Boulder,Colorado Springs,Colorado
Alienist,5.10b,3.8,2,Trad,South Platte,Colorado
Don Quixote,5.12d,4.0,1,Trad,Estes Park Valley,Colorado
Bat Guano Crack (mistakenly aka B-G Crack),5.11-,4.7,1,Trad,Vedauwoo,Wyoming
Repo Man,5.13a,0.0,1,Sport,North America,International
Roman Holiday,5.13a,2.0,4,Sport,North America,International
Pipi Pocket,5.11a,3.5,1,Sport,North America,International
Dihedral Crack aka Red Dihedral,5.9-,3.5,4,Trad,Independence Pass,Colorado
Pleasant Surprise,5.11a,4.0,1,Trad,Red River Gorge,Kentucky
G.F.P,V5,4.0,,Boulder,The Needles Of Rushmore,South Dakota
Freaker's Ball,5.8 R,2.0,4,Trad,Red Rock,Nevada
Marklar,5.10+,3.3,1,Sport,North America,International
Channelize Your Hatred,5.12a,2.0,1,Sport,North America,International
Kung Pao Pupert,5.10d,3.5,1,Sport,North America,International
Motavision,5.10+,3.4,1,Sport,North America,International
La Vaca ('The Cow'),5.11d,4.0,2,Sport,North America,International
Rogue Agent,5.11a,2.0,1,TR,Joshua Tree National Park,California
Have a Heart Donna,5.11+,4.2,1,Trad,Moab Area,Utah
Lechery,5.10b,4.0,,TR,Blue Mounds State Park (Luverne),Minnesota
Black Ice,5.11c,3.5,1,Sport,Quarry Park (St. Cloud),Minnesota
Rat's Tooth,5.10a,3.8,1,Trad,Lake Tahoe,California
Drillin' and Swillin',5.11b,3.5,1,Sport,North America,International
Unnamed Chimney,5.2,2.0,1,Trad,Joshua Tree National Park,California
Hit Man,5.11b,3.5,1,Sport,Maple Canyon,Utah
Juggalo,5.11a,3.6,1,Sport,North America,International
Frenesi,5.10d,3.2,1,Sport,North America,International
Blondike,5.11b R,5.0,7,Trad,Yosemite National Park,California
Boulder 1,V-easy,3.0,,Boulder,North America,International
The Possessed,5.12a,4.9,,Trad,*Cathedral Ledge,New Hampshire
Black Flies Consume Jim Dunn,5.12+,3.5,,Trad,WM: Kancamagus (Central),New Hampshire
Broken Sling,5.10a PG13,3.8,,Trad,The New River Gorge,West Virginia
Butter my block,V3,3.0,,Boulder,Rib Mountain,Wisconsin
Saint Sixtus Scoop,5.10c,2.8,1,Sport,Estes Park Valley,Colorado
The Gauntlet,5.11 PG13,4.0,9,Trad,North America,International
Problem C,V0,2.3,,Boulder,Sierra Eastside,California
Shades,5.12d,3.5,1,Sport,Lander Area,Wyoming
Mystery Route,5.10b,3.5,1,Sport,Black Cliffs,Idaho
Don Quixote,5.11d,4.7,1,Sport,North America,International
Jam Your Blues Away,5.10a,4.0,,"Trad, TR","New Mexico, other Northern Areas",New Mexico
Smoked Turkey,5.10a,4.4,2,Sport,Independence Pass,Colorado
Roadside Middle,5.11d,3.0,,Trad,Wasatch Range,Utah
The Night Nurse,5.12c,5.0,1,Sport,Northern Arizona,Arizona
Moss Man,5.10,2.0,1,Trad,Northern Arizona,Arizona
Sun Tan,5.8,2.7,1,Sport,Durango,Colorado
Gun Show,V8,3.2,,Boulder,*Pawtuckaway,New Hampshire
Classic Arete,V3-4,4.5,,Boulder,South Platte,Colorado
Garbage Can,5.7,2.4,1,"Trad, TR",Inland Empire,California
Scrubs,5.11b,3.4,1,Sport,Northern Arizona,Arizona
Rupley's Believe It Or Not,5.5,2.0,1,Trad,Southern Arizona,Arizona
Walk the Plank,5.11a,3.7,,Sport,Franklin Gorge,West Virginia
Paradox,5.12d,4.0,1,Sport,*Rumney,New Hampshire
Guardian Angel,5.9+,4.4,1,Sport,Lower Leda,Tennessee
Definite Maybe,5.9,2.3,1,Sport,Lower Leda,Tennessee
Yellow Belly,5.9+ PG13,3.0,1,Trad,Shell Canyon,Wyoming
Hawk Food,5.8+ PG13,3.0,,Trad,WM: Kancamagus (Central),New Hampshire
Clear Cut Crack,5.10 PG13,3.0,,Trad,WM: Kancamagus (Central),New Hampshire
Side Effects,5.12a,0.0,1,Sport,Northern Arizona,Arizona
"Slimy Crack aka Icecubes, Popcorn and Popsicles",5.10-,2.7,,Sport,Barton Creek Greenbelt,Texas
The Up Game,5.10b,3.6,1,Sport,Lower Leda,Tennessee
Shocker,5.12a R,4.3,,Trad,Enchanted Rock State Natural Area,Texas
Not Fade Away,5.12a,5.0,,Sport,North America,International
Technical Baiter,V1-,2.5,,Boulder,Europe,International
Slab Happy,V4-5,3.7,,Boulder,Crested Butte,Colorado
Great Harry,5.7+,4.0,,Trad,Europe,International
Triple Sec aka Fifty Bucks,5.12d,4.8,,Sport,Red River Gorge,Kentucky
Another Pretty Face,5.11 PG13,5.0,2,Trad,Taos Area,New Mexico
American Prayer,5.14a,4.0,1,Sport,Rifle,Colorado
Unknown 2,5.7,3.0,1,Trad,Vedauwoo,Wyoming
Lust,5.10+,3.4,1,Trad,North America,International
Thagomizer,5.10,4.0,4,Trad,Red Rock,Nevada
Twister,5.10a/b,3.0,1,Sport,Independence Pass,Colorado
Unknown Slab,5.10b,3.4,1,Trad,Wasatch Range,Utah
Reefer Madness,5.10- R,3.4,4,Trad,Southern Arizona,Arizona
Rampart Park Waterfalls,M4 X,5.0,3,"Trad, TR, Mixed",CO Ice & Mixed,Colorado
Quiet Desperation,5.11c R,3.7,1,Trad,Boulder,Colorado
1-bolt Arete,5.8,3.0,,Sport,Lake Tahoe,California
Phat Free Arete,5.9,2.0,1,Sport,Independence Pass,Colorado
Crack of the Eighties,5.13a,3.3,1,Trad,Lake Tahoe,California
Panic Attack (AKA BOB...Bombs Over Baghdad)),5.12-,3.3,,Sport,Boulder,Colorado
Rastafarian,5.9+,3.3,1,Trad,South Platte,Colorado
This Ain't No Comfort Inn,5.10 PG13,2.0,1,"Trad, Sport",Gunnison,Colorado
New Dragon,5.11+,3.2,,Sport,Franklin Mountain Range,Texas
Fear Of Paralysis,V5,4.0,,Boulder,Las Cruces Area Climbing,New Mexico
No Hope II,5.10b,4.8,1,Trad,San Diego County,California
Face,5.7,3.0,1,Sport,San Diego County,California
Overripe Fresh-Squeezed California Crack,5.8,2.4,1,Trad,Los Alamos & White Rock,New Mexico
Crumbling Reality,5.12d,5.0,1,Trad,South Platte,Colorado
North Face - Comici,5.10+,4.9,15,"Trad, Alpine",Europe,International
Tricks are for Kids,5.12a/b,4.0,1,"Trad, Sport",Boulder,Colorado
Hand Job,5.12a,3.3,,Sport,Northern Arizona,Arizona
Climbing in the Brewed,V4,4.0,,Boulder,Duluth Area (Rock and Ice),Minnesota
Picante,5.12a,3.5,1,Trad,Tahquitz & Suicide Rocks,California
Bump That,V4,3.2,,Boulder,Temp HP40,Alabama
Happy Hooker,5.10a PG13,2.2,,Trad,*Rumney,New Hampshire
Failure to Launch,5.9+,2.9,,Sport,Wasatch Range,Utah
Anti-Gravity,5.10a,3.6,,Sport,Wasatch Range,Utah
Close Encounters,5.10a,3.2,,Sport,Wasatch Range,Utah
Temple Of Doom,5.12+,4.0,1,TR,Quincy Quarries,Massachusetts
Loan Shark,5.7,3.0,1,Trad,Estes Park Valley,Colorado
Anemic Ladder,5.5,3.6,1,"Trad, TR",Devil's Lake,Wisconsin
Diamondback,5.10b,3.0,2,Trad,North America,International
Sugar Bear,5.10c,3.2,1,Trad,Central-West Cascades & Seattle,Washington
Pirate Booty,5.10c,3.5,1,Sport,Wasatch Range,Utah
Route 1.5,5.8,2.0,,Trad,Europe,International
The Chant,5.8+,2.5,,Trad,Europe,International
Wednesday Climb,5.10a,3.0,,Trad,Europe,International
Moonshine,5.8,4.3,1,Sport,Taos Area,New Mexico
Grand Finale,5.12b/c C2 R,4.5,,"Trad, Aid",*Cathedral Ledge,New Hampshire
Cardiovascular Seizure,5.10+,3.3,6,"Trad, Alpine",High Sierra,California
Golden Seam,5.11c R,3.3,1,Sport,Pagosa Springs,Colorado
A Jap In The NBA,5.9+,2.9,1,"Trad, Sport",El Rito,New Mexico
Gold Finger,5.12c,5.0,1,Sport,Independence Pass,Colorado
Dork Child,5.10b/c,2.0,,Trad,Europe,International
Slapshot,5.12a,3.9,1,Sport,Central-West Cascades & Seattle,Washington
Melissa,5.9-,3.8,1,Sport,South America,International
Full Moon,5.10b,4.1,,Sport,Sierra Eastside,California
Bloodstone,5.11,3.0,1,Trad,Boulder,Colorado
Mean People Suck,5.10+,3.3,1,Sport,Franklin Mountain Range,Texas
Pop,5.10+,3.0,1,Sport,Franklin Mountain Range,Texas
Pete's Tree Right,5.7,3.3,,"Trad, TR",*Pawtuckaway,New Hampshire
Matt's finger crack,5.12+,0.0,1,Trad,Sweetwater Rocks,Wyoming
Toto,5.10a/b,4.4,6,Trad,Anchorage & South Central Alaska,Alaska
The Trick,V2-,4.0,,Boulder,Grand Ledge,Michigan
The Tooth,V0,3.3,,Boulder,Grand Ledge,Michigan
Name unknown,5.11+,4.0,,Sport,Shepherd Springs,Arkansas
Hooks for Feet,5.10a,3.0,,Sport,Shepherd Springs,Arkansas
Our Typhoon Rhythm,5.9-,4.0,,Trad,Northwest Region,Washington
Slab Master,V4,3.0,,Boulder,Denver South,Colorado
Prehension,5.7,3.3,,"Trad, TR",Blue Mounds State Park (Luverne),Minnesota
Zig Zag,5.10a,3.0,,TR,San Diego County,California
The Crucible,5.13a,3.6,1,"Sport, Alpine",Cedar City,Utah
Turkey Neck Direct,5.11+,3.0,1,"Sport, TR",Boulder,Colorado
Lobo Direct,5.10b,3.7,1,Trad,Southern Arizona,Arizona
Metrolink,V1+,2.0,,Boulder,San Jacinto Mountains,California
The Wanderer,V0,2.7,,Boulder,*Pawtuckaway,New Hampshire
Heart of Darkness,5.5,3.1,,Trad,Wasatch Range,Utah
Chockstone Chimney,5.9,2.8,1,"Trad, TR",Portland & The Gorge,Oregon
Back in Black,WI4+ M7+,3.0,1,"Sport, Mixed, Ice",CO Ice & Mixed,Colorado
Los Huesos,5.10+,3.3,5,"Trad, Alpine",Grand Teton National Park,Wyoming
Unnamed,5.7,3.0,,"Trad, Alpine",Beartooth Mountains,Montana
Shark Skin Leisure Suit,5.11+,4.5,1,Sport,Telluride/Norwood area,Colorado
Heavy Hands,5.8,2.0,1,Trad,Sunset Park,Tennessee
Wrinkles,5.9,2.5,3,Trad,Boulder,Colorado
Tennish Anyone?,5.10c,3.8,1,Trad,The Gunks,New York
Chubby Hubby,5.6,2.3,1,Trad,Carbondale Area,Colorado
Scratching Post,5.9+,2.9,,Sport,Southern Arizona,Arizona
Hanging Humor,5.10d,4.1,1,Sport,Heise Rock,Idaho
The Joker,5.10b,3.4,1,Sport,Jackson Hole,Wyoming
Black Line - Directest Finish,5.11a,4.7,1,Trad,Gallatin Canyon,Montana
Canyon Block Project,5.13+ R,0.0,1,Trad,Boulder,Colorado
Under the gun,5.10a/b PG13,3.3,1,TR,Camden Hills,Maine
Mr. D.N.A.,5.8,3.1,1,Trad,Sierra Eastside,California
Buffy,5.13a/b,4.0,1,Sport,Heise Rock,Idaho
The Bitter End,5.12a,2.8,1,Sport,Heise Rock,Idaho
Assholes of August,5.9,4.2,1,Trad,North America,International
Logan's Run,5.10b,4.0,1,Sport,North America,International
Manana,5.10b,4.1,1,Trad,North America,International
Thunderstruck,5.13a/b,3.3,1,"Sport, Alpine",Albuquerque Area Climbing,New Mexico
Skinwalker,5.10+,4.6,1,"Trad, Alpine",Albuquerque Area Climbing,New Mexico
KFAD arete,V2,3.4,,Boulder,Jemez Valley Area,New Mexico
Gods Of Thunder,5.11b,2.5,1,Sport,Durango,Colorado
Jesus Freak,5.11c,3.5,1,Sport,Durango,Colorado
Revelations (aka Delusion),5.11b,3.0,1,Sport,Durango,Colorado
Firecracker Arete,V3+,3.0,,Boulder,*Pawtuckaway,New Hampshire
Silver Surfer,5.10a/b,3.4,,Sport,Red Rock,Nevada
Sixes,WI6 M6,3.0,1,"Trad, Mixed, Ice",CO Ice & Mixed,Colorado
Big Jim,V1+,2.5,,Boulder,Governor Dodge State Park,Wisconsin
Tree Slab,V-easy,2.0,,Boulder,Governor Dodge State Park,Wisconsin
Chardonnay,5.7 X,1.0,2,"Trad, TR",Rocks State Park,Maryland
Slabmaster,V3,3.6,,Boulder,Joshua Tree National Park,California
Doo Doo Wrecka,V5,5.0,,Boulder,Jemez Valley Area,New Mexico
Pocket Change,V1,3.3,,Boulder,Joshua Tree National Park,California
Hung Like a Troll,5.10,2.6,1,Trad,Southern Arizona,Arizona
The Tao of Choy,5.7+,3.0,1,Trad,Southern Arizona,Arizona
Player Hater's Club,5.11,3.3,2,Trad,Southern Arizona,Arizona
Digital Alarm,5.11-,4.0,1,Trad,Southern Arizona,Arizona
The Slot,5.8,3.0,1,Trad,Southern Arizona,Arizona
Internet Troll,5.9-,2.7,1,Trad,Southern Arizona,Arizona
Left of Corner Bulge,V3-4,3.0,,Boulder,Central Sandstone,Wisconsin
Red Rocket Arete.,V3+,3.5,,Boulder,Central Sandstone,Wisconsin
