rating,stars,pitches,type,city,state
Curving Crack,V0-,3.3,,Boulder,Fort Collins,Colorado
TM Chimney,5.7+,4.0,,Trad,Vedauwoo,Wyoming
Midnight Trundler,5.10c,2.8,,"Trad, TR",Boulder,Colorado
Out to Lunge,5.9 R,3.4,2,Trad,Boulder,Colorado
The Hard Traverse,V5 R,3.8,,Boulder,Boulder,Colorado
Industrial Disease aka Dead Moonies Don't Sell Flowers,5.11c,4.3,1,"Sport, TR",Golden,Colorado
Pony Express,5.11c,4.5,2,Trad,Boulder,Colorado
Toponas,5.8,3.0,,Trad,Boulder,Colorado
Fear of Sunlight,5.11d,2.8,1,Sport,Boulder,Colorado
Fi Fun,5.3 R,4.3,3,Trad,Boulder,Colorado
Meteor Rhoadblock,5.12a/b,3.9,1,Sport,Boulder,Colorado
Tropics Arete,V3,4.5,,Boulder,Fort Collins,Colorado
Wicked Game,5.10d R,3.1,1,Sport,Golden,Colorado
Handy Boy,5.12c,3.0,1,Sport,Rifle,Colorado
Funny Games,5.12d R,3.0,1,"Trad, TR",Boulder,Colorado
Lower Finger Traverse,5.8,3.0,1,Sport,Colorado Springs,Colorado
Right Torpedo Tube,5.11+,4.4,1,Trad,Vedauwoo,Wyoming
Catch and Release,5.12b/c,2.3,1,Sport,Boulder,Colorado
Party Line,5.10d,2.4,1,Sport,Golden,Colorado
South Ridge,5.4 X,1.4,1,Trad,Colorado Springs,Colorado
Right Parallel Space,5.5,4.0,1,Trad,Vedauwoo,Wyoming
Jaws,5.11b,2.4,1,Sport,Boulder,Colorado
East Bench Dihedral,5.2,2.8,,Trad,Boulder,Colorado
Skin Mechanic,5.10a,3.0,1,"Trad, Sport",Lyons,Colorado
Triskaidekaphobia,5.12a,3.1,1,Sport,Denver South,Colorado
Bob's Nob,5.11d,3.0,1,Sport,Denver South,Colorado
South Face Direct,5.10c,3.5,,Sport,South Platte,Colorado
The Staircase,5.5,4.0,2,Trad,South Platte,Colorado
Hate Hate (aka Whiskey Run),5.10,2.4,1,Sport,Golden,Colorado
Catchin' Rays,5.10b,2.7,,Sport,Boulder,Colorado
Big Sky,5.7,3.2,1,Sport,Colorado Springs,Colorado
Exit Ramp,5.11b/c,3.0,,"Trad, Sport",Vedauwoo,Wyoming
The Apparition,5.12b R,5.0,9,Trad,Gunnison,Colorado
Space Oddity (a.k.a. Significant Local),5.12a,4.9,1,Sport,Vedauwoo,Wyoming
Cheops,5.10d,3.8,,Sport,South Platte,Colorado
Daddy Blocker,5.11a/b,2.4,1,Sport,Boulder,Colorado
Shape Shifters,5.9,3.2,1,Trad,Boulder,Colorado
Be Here Now,5.8,2.8,1,"Trad, Sport",Boulder,Colorado
Mother Goose,5.10d,2.9,1,Sport,Boulder,Colorado
The Final Chapter,5.11a/b,4.3,,Trad,Estes Park Valley,Colorado
Tradewinds,5.11a/b,4.3,1,"Sport, TR",Denver South,Colorado
Much Ado About Bolting,5.11d,2.0,1,"Sport, TR",Denver South,Colorado
Jade Gate,5.11,4.0,1,Sport,Boulder,Colorado
Chimney Route,5.8,2.2,1,Trad,Golden,Colorado
Penis Dimension,5.10c,4.2,1,Trad,Vedauwoo,Wyoming
The Reaper,5.10,3.5,1,Trad,Denver South,Colorado
Classic Head,5.10b,3.0,1,Sport,South Platte,Colorado
New Music,5.11+ R,4.0,5,Trad,Estes Park Valley,Colorado
To The Fire Wind,5.11d,3.8,,Trad,South Platte,Colorado
Old Bolt Route,5.8- PG13,3.3,,"Trad, Sport",Estes Park Valley,Colorado
Porkus Procurement,5.10c/d,3.8,1,Sport,Canon City,Colorado
1937 route,5.5,1.8,,Trad,South Platte,Colorado
Whisper of Immortality,5.9,2.5,1,Sport,Canon City,Colorado
Downclimb Route,5.3,2.6,1,Trad,Colorado Springs,Colorado
Dough Boys,5.10a/b,3.6,1,Sport,Canon City,Colorado
Shelf's Worst Route,5.11d,2.4,1,Sport,Canon City,Colorado
The War on Peace,5.12a,3.8,1,Sport,Boulder,Colorado
Antebellum,5.12a,3.0,1,"Trad, Sport, TR",Boulder,Colorado
Grundel City Boy,V9,3.9,,Boulder,Boulder,Colorado
Sudden Impact,5.11a,3.7,1,Sport,Canon City,Colorado
East Face/S Goose Egg,5.2,2.9,,Trad,Boulder,Colorado
Primate,5.13 PG13,4.8,1,Trad,Boulder,Colorado
Ilga Grimpeur,5.11b,3.5,1,Sport,Boulder,Colorado
Howl Of A Hungry Cat,5.10d,3.1,1,Sport,Boulder,Colorado
Arnold! Arnold!,5.11d,4.1,1,Sport,Canon City,Colorado
Rain,5.10d R,4.3,,Trad,Boulder,Colorado
Shaking the Pope's Hand,5.7,3.5,1,"Sport, TR",Estes Park Valley,Colorado
Side Effects,5.10c,3.4,1,"Sport, TR",Estes Park Valley,Colorado
Escape Artist,5.10a,4.4,7,Trad,Gunnison,Colorado
In Your Face,5.12d,4.4,1,Sport,Rifle,Colorado
No Lo Contendere,5.10c,2.7,1,"Trad, Sport, TR",Boulder,Colorado
80 Feet of Meat,5.11b,4.2,1,Sport,Rifle,Colorado
